Start_Date,Total_kWh,carpark,home,other,street,work,start_temperature,id
2018/5/13,130.46,5,1,9,5,2,12,253
2018/5/14,398.24,5,19,18,12,14,13,254
2018/5/15,430.2,7,23,24,9,15,14,255
2018/5/16,502.8,9,18,14,9,20,10,256
2018/5/17,382.78,8,18,26,11,15,11,257
2018/5/18,440.77,8,21,21,16,17,12,258
2018/5/19,195.27,5,4,8,11,5,15,259
2018/5/20,174.48,5,2,6,5,8,13,260
2018/5/21,366.16,7,18,11,13,19,15,261
2018/5/22,427.85,8,15,18,15,21,11,262
2018/5/23,512.11,11,23,19,15,21,10,263
2018/5/24,414.34,7,20,11,12,18,10,264
2018/5/25,373.75,9,16,13,15,18,15,265
2018/5/26,229.88,7,5,5,8,12,15,266
2018/5/27,138.93,5,2,3,6,9,14,267
2018/5/28,266.43,8,9,10,11,13,16,268
2018/5/29,386.08,10,17,13,13,22,15,269
2018/5/30,410.7,7,15,10,19,16,16,270
2018/5/31,405.56,8,20,10,14,21,15,271
2018/6/1,358.98,5,13,11,15,16,17,272
2018/6/2,172.55,8,1,4,10,4,17,273
2018/6/3,154,4,3,5,8,4,15,274
2018/6/4,322.47,9,14,10,8,15,13,275
2018/6/5,20.25,1,1,0,2,1,14,276
2018/6/6,321.82,9,24,13,11,13,13,277
2018/6/7,589.18,9,25,15,16,26,14,278
2018/6/8,436.03,7,25,10,13,23,12,279
2018/6/9,102.44,4,1,3,6,3,13,280
2018/6/10,200.25,5,1,8,10,6,14,281
2018/6/11,440.97,7,21,16,14,23,12,282
2018/6/12,414.61,6,26,18,11,17,14,283
2018/6/13,443.73,8,26,18,16,22,13,284
2018/6/14,390.87,9,23,16,8,14,13,285
2018/6/15,404.88,6,24,14,17,17,13,286
2018/6/16,190.16,7,3,11,6,6,11,287
2018/6/17,188.92,6,4,9,11,5,13,288
2018/6/18,437.01,7,16,21,14,21,12,289
2018/6/19,387.26,6,26,17,11,20,12,290
2018/6/20,438.11,10,27,12,16,17,12,291
2018/6/21,397.28,7,25,19,10,21,13,292
2018/6/22,412.29,13,17,13,19,16,14,293
2018/6/23,232.54,5,1,6,14,16,15,294
2018/6/24,176.42,3,4,5,12,10,17,295
2018/6/25,422.03,9,28,7,15,20,17,296
2018/6/26,318.97,4,21,10,14,19,15,297
2018/6/27,397.48,8,21,9,6,22,16,298
2018/6/28,402.41,9,21,10,13,16,20,299
2018/6/29,305.45,7,23,7,14,14,15,300
2018/6/30,178.89,10,3,4,8,5,14,301
2018/7/1,95.56,4,2,3,7,7,16,302
2018/7/2,332.24,5,27,8,13,16,15,303
2018/7/3,328.11,6,25,8,16,20,16,304
2018/7/4,336.56,6,24,9,13,22,18,305
2018/7/5,305.66,7,24,8,18,12,16,306
2018/7/6,248.04,7,20,6,8,11,17,307
2018/7/7,183.82,3,2,5,20,6,18,308
2018/7/8,197.8,4,1,6,13,2,20,309
2018/7/9,228.84,6,24,10,14,8,14,310
2018/7/10,284.66,4,21,7,24,16,16,311
2018/7/11,303.11,2,22,13,13,11,16,312
2018/7/12,279.61,5,20,16,16,19,14,313
2018/7/13,379.38,6,19,16,18,18,17,314
2018/7/14,122.12,3,1,2,10,3,19,315
2018/7/15,128.25,2,0,2,8,6,18,316
2018/7/16,292.36,5,18,13,11,8,18,317
2018/7/17,322.04,6,22,10,12,16,16,318
2018/7/18,309.35,4,27,13,12,14,16,319
2018/7/19,321.01,10,26,7,11,18,18,320
2018/7/20,276.82,4,20,10,9,12,14,321
2018/7/21,126.99,4,2,3,6,4,18,322
2018/7/22,141.21,8,4,2,6,6,20,323
2018/7/23,255.51,6,12,13,11,17,20,324
2018/7/24,313.45,6,16,13,10,12,17,325
2018/7/25,289.39,6,22,13,12,17,17,326
2018/7/26,401.86,6,27,14,13,13,19,327
2018/7/27,225.36,4,19,5,12,12,21,328
2018/7/28,201.5,5,2,8,7,6,16,329
2018/7/29,215.47,6,3,6,9,7,14,330
2018/7/30,245.45,6,22,9,11,10,15,331
2018/7/31,361.14,7,22,9,7,15,15,332
2018/8/1,267.04,3,23,11,15,7,15,333
2018/8/2,352.05,5,21,13,14,10,19,334
2018/8/3,269.7,4,23,11,12,8,19,335
2018/8/4,170.46,5,2,4,11,5,17,336
2018/8/5,146.88,4,1,4,7,4,17,337
2018/8/6,306.63,6,13,15,10,13,17,338
2018/8/7,323.11,8,28,11,15,9,16,339
2018/8/8,329.15,6,33,14,12,11,15,340
2018/8/9,328.74,7,21,9,16,13,14,341
2018/8/10,331.54,7,17,10,7,15,14,342
2018/8/11,198.27,5,3,3,22,9,14,343
2018/8/12,151.97,6,3,3,6,7,13,344
2018/8/13,340.24,5,14,11,14,14,14,345
2018/8/14,390.36,7,24,12,13,14,16,346
2018/8/15,377.72,6,24,16,9,17,17,347
2018/8/16,362.94,6,23,12,11,13,14,348
2018/8/17,372.94,7,15,12,19,12,13,349
2018/8/18,252.51,7,1,6,15,7,15,350
2018/8/19,226.71,7,4,8,6,8,13,351
2018/8/20,351.85,9,19,13,12,12,15,352
2018/8/21,448.97,9,24,16,18,15,16,353
2018/8/22,413.03,6,28,15,11,12,17,354
2018/8/23,409.31,8,31,16,16,14,13,355
2018/8/24,370.59,5,22,16,13,17,13,356
2018/8/25,166.07,6,3,5,10,5,13,357
2018/8/26,144.24,3,1,5,4,8,11,358
2018/8/27,448.71,7,30,11,11,19,15,359
2018/8/28,432.79,9,24,14,10,22,14,360
2018/8/29,433.9,10,23,16,10,19,14,361
2018/8/30,388.35,6,22,11,7,12,13,362
2018/8/31,346.96,5,22,10,17,15,14,363
